# p q signal noise
30 109 2.860e+01 3.779e+00
30 110 4.146e+01 3.779e+00
30 111 4.152e+01 3.779e+00
30 112 4.119e+01 3.779e+00
30 113 3.803e+01 3.779e+00
30 114 3.681e+01 3.779e+00
30 115 3.579e+01 3.779e+00
30 116 3.277e+01 3.779e+00
30 117 3.306e+01 3.779e+00
30 118 3.344e+01 3.779e+00
31 58 3.336e+01 3.779e+00
31 59 4.339e+01 3.779e+00
31 60 4.740e+01 3.779e+00
31 61 6.800e+01 3.779e+00
31 62 6.912e+01 3.779e+00
31 63 7.951e+01 3.779e+00
31 64 9.851e+01 3.779e+00
31 65 1.086e+02 3.779e+00
31 66 1.251e+02 3.779e+00
31 67 1.338e+02 3.779e+00
31 68 1.443e+02 3.779e+00
31 69 1.534e+02 3.779e+00
31 70 1.765e+02 3.779e+00
31 71 1.824e+02 3.779e+00
31 72 1.890e+02 3.779e+00
31 73 1.877e+02 3.779e+00
31 74 1.787e+02 3.779e+00
31 75 1.749e+02 3.779e+00
31 76 1.590e+02 3.779e+00
31 77 1.366e+02 3.779e+00
31 78 1.250e+02 3.779e+00
31 79 1.099e+02 3.779e+00
31 80 9.420e+01 3.779e+00
31 81 8.209e+01 3.779e+00
31 82 6.951e+01 3.779e+00
31 83 6.523e+01 3.779e+00
31 84 5.696e+01 3.779e+00
31 85 5.173e+01 3.779e+00
31 86 5.071e+01 3.779e+00
31 87 3.913e+01 3.779e+00
31 88 3.822e+01 3.779e+00
31 89 4.643e+01 3.779e+00
31 90 4.792e+01 3.779e+00
31 91 4.128e+01 3.779e+00
31 92 3.651e+01 3.779e+00
31 93 3.658e+01 3.779e+00
31 94 4.213e+01 3.779e+00
31 95 3.675e+01 3.779e+00
31 96 3.917e+01 3.779e+00
31 97 3.154e+01 3.779e+00
31 98 3.199e+01 3.779e+00
32 57 3.833e+01 3.779e+00
32 58 4.161e+01 3.779e+00
32 59 6.068e+01 3.779e+00
32 60 5.996e+01 3.779e+00
32 61 7.478e+01 3.779e+00
32 62 7.540e+01 3.779e+00
32 63 1.005e+02 3.779e+00
32 64 1.159e+02 3.779e+00
32 65 1.322e+02 3.779e+00
32 66 1.548e+02 3.779e+00
32 67 1.570e+02 3.779e+00
32 68 1.680e+02 3.779e+00
32 69 1.668e+02 3.779e+00
32 70 1.712e+02 3.779e+00
32 71 1.726e+02 3.779e+00
32 72 1.670e+02 3.779e+00
32 73 1.602e+02 3.779e+00
32 74 1.529e+02 3.779e+00
32 75 1.275e+02 3.779e+00
32 76 1.054e+02 3.779e+00
32 77 9.370e+01 3.779e+00
32 78 8.822e+01 3.779e+00
32 79 7.442e+01 3.779e+00
32 80 6.077e+01 3.779e+00
32 81 4.466e+01 3.779e+00
32 82 5.062e+01 3.779e+00
32 83 3.920e+01 3.779e+00
32 84 3.484e+01 3.779e+00
32 85 3.917e+01 3.779e+00
32 86 3.590e+01 3.779e+00
32 87 3.808e+01 3.779e+00
32 88 3.094e+01 3.779e+00
32 89 3.058e+01 3.779e+00
32 90 3.193e+01 3.779e+00
32 91 2.862e+01 3.779e+00
32 92 3.337e+01 3.779e+00
32 93 3.414e+01 3.779e+00
33 55 3.019e+01 3.779e+00
33 56 4.829e+01 3.779e+00
33 57 5.124e+01 3.779e+00
33 58 6.628e+01 3.779e+00
33 59 8.136e+01 3.779e+00
33 60 8.502e+01 3.779e+00
33 61 9.354e+01 3.779e+00
33 62 1.105e+02 3.779e+00
33 63 1.171e+02 3.779e+00
33 64 1.432e+02 3.779e+00
33 65 1.576e+02 3.779e+00
33 66 1.753e+02 3.779e+00
33 67 1.719e+02 3.779e+00
33 68 1.708e+02 3.779e+00
33 69 1.475e+02 3.779e+00
33 70 1.507e+02 3.779e+00
33 71 1.370e+02 3.779e+00
33 72 1.278e+02 3.779e+00
33 73 1.116e+02 3.779e+00
33 74 1.048e+02 3.779e+00
33 75 7.873e+01 3.779e+00
33 76 6.683e+01 3.779e+00
33 77 6.471e+01 3.779e+00
33 78 5.181e+01 3.779e+00
33 79 4.227e+01 3.779e+00
33 80 3.734e+01 3.779e+00
33 81 3.040e+01 3.779e+00
33 82 3.331e+01 3.779e+00
33 83 3.501e+01 3.779e+00
34 54 3.352e+01 3.779e+00
34 55 4.362e+01 3.779e+00
34 56 6.353e+01 3.779e+00
34 57 7.703e+01 3.779e+00
34 58 8.765e+01 3.779e+00
34 59 9.787e+01 3.779e+00
34 60 1.083e+02 3.779e+00
34 61 1.122e+02 3.779e+00
34 62 1.350e+02 3.779e+00
34 63 1.508e+02 3.779e+00
34 64 1.722e+02 3.779e+00
34 65 1.813e+02 3.779e+00
34 66 1.766e+02 3.779e+00
34 67 1.766e+02 3.779e+00
34 68 1.650e+02 3.779e+00
34 69 1.400e+02 3.779e+00
34 70 1.123e+02 3.779e+00
