# p q signal noise
28 28 4.026e+00 1.977e-01
28 29 4.436e+00 1.977e-01
28 30 4.877e+00 1.977e-01
28 31 5.280e+00 1.977e-01
28 32 5.801e+00 1.977e-01
28 33 6.164e+00 1.977e-01
28 34 6.617e+00 1.977e-01
28 35 6.330e+00 1.977e-01
28 36 6.215e+00 1.977e-01
28 37 5.625e+00 1.977e-01
28 38 4.951e+00 1.977e-01
28 39 4.203e+00 1.977e-01
28 40 3.477e+00 1.977e-01
28 41 2.766e+00 1.977e-01
28 42 2.082e+00 1.977e-01
29 24 1.597e+00 1.977e-01
29 25 1.845e+00 1.977e-01
29 26 2.118e+00 1.977e-01
29 27 2.496e+00 1.977e-01
29 28 2.821e+00 1.977e-01
29 29 3.065e+00 1.977e-01
29 30 3.425e+00 1.977e-01
29 31 3.694e+00 1.977e-01
29 32 4.113e+00 1.977e-01
29 33 4.449e+00 1.977e-01
29 34 4.958e+00 1.977e-01
29 35 4.710e+00 1.977e-01
29 36 4.615e+00 1.977e-01
29 37 4.316e+00 1.977e-01
29 38 3.972e+00 1.977e-01
29 39 3.468e+00 1.977e-01
29 40 2.870e+00 1.977e-01
29 41 2.191e+00 1.977e-01
30 27 1.563e+00 1.977e-01
30 28 1.640e+00 1.977e-01
30 29 1.911e+00 1.977e-01
30 30 2.111e+00 1.977e-01
30 31 2.440e+00 1.977e-01
30 32 2.643e+00 1.977e-01
30 33 2.988e+00 1.977e-01
30 34 3.293e+00 1.977e-01
30 35 3.188e+00 1.977e-01
30 36 3.268e+00 1.977e-01
30 37 3.155e+00 1.977e-01
30 38 2.903e+00 1.977e-01
30 39 2.635e+00 1.977e-01
30 40 2.220e+00 1.977e-01
31 31 1.459e+00 1.977e-01
31 32 1.567e+00 1.977e-01
31 33 1.871e+00 1.977e-01
31 34 2.054e+00 1.977e-01
31 35 2.130e+00 1.977e-01
31 36 2.157e+00 1.977e-01
31 37 2.050e+00 1.977e-01
31 38 1.958e+00 1.977e-01
